WARDNAME,SLUM_NAME,SLUMID
14,Mati Jharna Bastee,20151614278
8,Ukil colony,20151608471
10,Navy colony,20151610041
29,SRB Station Bosti,20151629655
2,Muktijuddha colony,20151602412
1,Hotat colony,20151601401
34,Monohor Khali,20151634453
37,Durga Bari,20151637537
6,Sirajul haq contractor,20151606439
9,Lake View abasik,20151609363
13,Chinnomul bastuhara,20151613279
35,Nawab khaner Colony,20151635532
11,Hamza Chowdhury Bari,20151611502
19,Abul Hossen Colony,20151619094
3,Fokirabad colony,20151603387
12,Rafiq Member er Bari,20151612526
24,Shah Alam er colony,20151624564
7,Hamjarbag Colony-1,20151607454
33,Haji Colony,20151633523
18,Anan Ali Pakser Bari,20151618327
